"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 22:40:50 AMT 2024","Tue Jul 02 22:40:51 AMT 2024","629","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Tue Jul 02 22:40:52 AMT 2024","Tue Jul 02 22:40:52 AMT 2024","629","","Delete Booking Tests","TestBookingDelete","","","Delete Non-Existent Booking","This test verifies that attempting to delete a booking that does not exist returns the appropriate error response."
"passed","Tue Jul 02 22:40:41 AMT 2024","Tue Jul 02 22:40:41 AMT 2024","612","","TEST BOOKING POST - suite","TestBookingPost","","","Test Create Booking","This test case verifies that the system successfully create new booking"
"passed","Tue Jul 02 22:40:43 AMT 2024","Tue Jul 02 22:40:44 AMT 2024","623","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","This test verifies that booking information can be successfully updated."
"passed","Tue Jul 02 22:40:48 AMT 2024","Tue Jul 02 22:40:49 AMT 2024","1225","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Tue Jul 02 22:40:51 AMT 2024","Tue Jul 02 22:40:52 AMT 2024","662","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Tue Jul 02 22:40:45 AMT 2024","Tue Jul 02 22:40:45 AMT 2024","628","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","This test verifies that booking information can be successfully updated."
"passed","Tue Jul 02 22:40:40 AMT 2024","Tue Jul 02 22:40:41 AMT 2024","784","","Booking Creation Tests","TestBookingCreate","","","Create Booking and Verify Attributes","This test creates a new booking and verifies the attributes of the created booking."
"passed","Tue Jul 02 22:40:52 AMT 2024","Tue Jul 02 22:40:54 AMT 2024","1290","","Delete Booking Tests","TestBookingDelete","","","Delete Booking","This test verifies the deletion of a booking by its ID."
"passed","Tue Jul 02 22:40:49 AMT 2024","Tue Jul 02 22:40:50 AMT 2024","1239","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Tue Jul 02 22:40:47 AMT 2024","Tue Jul 02 22:40:48 AMT 2024","629","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking with Invalid Conditions","This test verifies that updating a booking with invalid token returns the appropriate error response."
"passed","Tue Jul 02 22:40:46 AMT 2024","Tue Jul 02 22:40:47 AMT 2024","629","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking with Invalid Conditions","This test verifies that updating a booking with invalid token returns the appropriate error response."
"passed","Tue Jul 02 22:40:42 AMT 2024","Tue Jul 02 22:40:43 AMT 2024","627","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve Booking By Id","This test case verifies that the system retrieves a specific booking by ID"
"passed","Tue Jul 02 22:40:41 AMT 2024","Tue Jul 02 22:40:42 AMT 2024","927","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve All Bookings","This test case verifies that the system retrieves all bookings"
